Name,Year,Odometer,Fuel_Type,Transmission,Mileage,Engine,Power,Seats,Price_usd
'Hyundai Elite i20 Asta Option',0.904762,0.00912,Petrol,Manual,0.554562,0.106624,0.090643,0.5,11736
'Hyundai Elite i20 Asta Option',1,0.003225,Petrol,Manual,0.554562,0.106624,0.090643,0.5,11736
'Hyundai i20 Active SX Petrol',0.904762,0.006166,Petrol,Manual,0.512522,0.106624,0.090643,0.5,11688
'Volkswagen Ameo 1.5 TDI Highline',0.952381,0.004809,Diesel,Manual,0.645796,0.162635,0.141537,0.5,11664
'Maruti Dzire AMT VDI',0.952381,0.003833,Diesel,Automatic,0.84675,0.116115,0.075219,0.5,11544
'Volkswagen Polo 1.5 TDI Highline',0.857143,0.003358,Diesel,Manual,0.600477,0.162635,0.10232,0.5,11496
'Toyota Platinum Etios 1.4 GXD',0.809524,0.023051,Diesel,Manual,0.703339,0.1377,0.062476,0.5,11496
'Volkswagen Polo 1.5 TDI Comfortline',0.809524,0.010128,Diesel,Manual,0.600477,0.162635,0.10232,0.5,11472
'Toyota Etios Cross 1.4L VD',0.761905,0.009562,Diesel,Manual,0.703339,0.1377,0.062495,0.5,11460
'Maruti Baleno Alpha Diesel',0.857143,0.004435,Diesel,Manual,0.816637,0.116115,0.075694,0.5,11436
'Nissan Micra XV CVT',0.857143,0.00611,Petrol,Automatic,0.57096,0.106811,0.079384,0.5,11412
'Nissan Micra XV CVT',0.904762,0.008341,Petrol,Automatic,0.57096,0.106811,0.079384,0.5,11412
'Fiat Linea Classic Plus 1.3 Multijet',0.714286,0.013205,Diesel,Manual,0.581395,0.116115,0.077596,0.5,11400
'Nissan Micra XV D',0.666667,0.014351,Diesel,Manual,0.691413,0.15575,0.055002,0.5,11376
'Ford EcoSport 1.5 Petrol Trend',0.857143,0.003275,Petrol,Manual,0.506857,0.162449,0.165766,0.5,11364
'Honda Amaze V CVT Petrol',1,0.00393,Petrol,Automatic,0.566488,0.106997,0.103766,0.5,11364
'Nissan Micra XV CVT',0.809524,0.005342,Petrol,Automatic,0.57096,0.106811,0.079384,0.5,11364
'Maruti Vitara Brezza VDi',0.904762,0.005358,Diesel,Manual,0.724508,0.116115,0.103271,0.5,11352
'Honda Amaze V CVT Petrol',0.952381,0.000235,Petrol,Automatic,0.566488,0.106997,0.103766,0.5,11328
'Ford Aspire Titanium Plus Diesel',0.809524,0.000404,Diesel,Manual,0.778175,0.162635,0.123241,0.5,11280
'Honda WR-V Edge Edition i-VTEC S',1,0.002114,Petrol,Manual,0.521765,0.106997,0.103652,0.5,11232
'Mahindra Verito 1.5 D4 BSIV',0.809524,0.01382,Diesel,Manual,0.627013,0.15575,0.058577,0.5,11112
'Volkswagen Ameo 1.5 TDI Comfortline',0.857143,0.008912,Diesel,Manual,0.645796,0.162635,0.141537,0.5,11028
'Maruti Dzire VDI',0.619048,0.016897,Diesel,Manual,0.84675,0.116115,0.075219,0.5,10968
'Maruti Dzire VDI',0.714286,0.010502,Diesel,Manual,0.84675,0.116115,0.075219,0.5,10968
'Mahindra Verito 1.5 D4 BSIV',0.714286,0.016436,Diesel,Manual,0.627013,0.15575,0.058577,0.5,10944
'Maruti Vitara Brezza LDi',0.857143,0.006897,Diesel,Manual,0.724508,0.116115,0.103271,0.5,10944
'Maruti Vitara Brezza LDi',0.904762,0.005418,Diesel,Manual,0.724508,0.116115,0.103271,0.5,10944
'Honda Jazz VX',0.952381,0.003054,Petrol,Manual,0.542636,0.106997,0.103652,0.5,10920
'Honda Jazz VX',0.904762,0.001204,Petrol,Manual,0.542636,0.106997,0.103652,0.5,10920
'Honda Amaze S Diesel',0.809524,0.004435,Diesel,Manual,0.816935,0.162635,0.12248,0.5,10908
'Maruti Baleno Zeta CVT',0.857143,0.003051,Petrol,Automatic,0.638044,0.106624,0.093001,0.5,10848
'Mercedes-Benz E-Class E400 Cabriolet',0.809524,0.001128,Petrol,Automatic,0.298151,0.441384,0.568277,0.4,105084
'Mercedes-Benz E-Class E 220 d',0.952381,0.004036,Petrol,Automatic,0.375671,0.246744,0.298859,0.5,104364
'Mercedes-Benz E-Class E 220 d',0.952381,0.003119,Petrol,Automatic,0.375671,0.246744,0.298859,0.5,104364
'Ford Mustang V8',0.952381,0.003249,Petrol,Automatic,0.387597,0.805173,0.686192,0.4,100704
'Honda Amaze VX Petrol',0.761905,0.003205,Petrol,Manual,0.581395,0.106997,0.099962,0.5,10788
'Maruti Dzire ZDI',0.714286,0.008659,Diesel,Manual,0.84675,0.116115,0.075219,0.5,10740
'Maruti Dzire VDI',0.666667,0.011359,Diesel,Manual,0.84675,0.116115,0.075219,0.5,10728
'Tata Zest Quadrajet 1.3 75PS XM',0.904762,0.011051,Diesel,Manual,0.684258,0.116115,0.075694,0.5,10716
'Ford Aspire Titanium Diesel',0.904762,0.009212,Diesel,Manual,0.778175,0.162635,0.123241,0.5,10692
'Honda Jazz VX',0.809524,0.00954,Petrol,Manual,0.542636,0.106997,0.103652,0.5,10620
'Hyundai Xcent 1.2 Di S',0.857143,0.007666,Diesel,Manual,0.757305,0.104578,0.075637,0.5,10608
'Toyota Etios Cross 1.4L GD',0.857143,0.005617,Diesel,Manual,0.703339,0.1377,0.062495,0.5,10584
'Maruti Baleno Alpha',0.857143,0.002435,Petrol,Manual,0.638044,0.106624,0.093001,0.5,10560
'Honda Jazz V',0.809524,0.005666,Petrol,Manual,0.542636,0.106997,0.103652,0.5,10548
'Maruti Baleno Alpha',0.904762,0.003785,Petrol,Manual,0.638044,0.106624,0.093001,0.5,10536
'Maruti Baleno Alpha',0.857143,0.001852,Petrol,Manual,0.638044,0.106624,0.093001,0.5,10536
'Maruti Baleno Alpha',0.904762,0.000897,Petrol,Manual,0.638044,0.106624,0.093001,0.5,10536
'Maruti Dzire VDI',0.714286,0.011833,Diesel,Manual,0.84675,0.116115,0.075219,0.5,10500
'Nissan Micra XV CVT',0.619048,0.006743,Petrol,Automatic,0.57096,0.106811,0.079384,0.5,10476
'Honda Jazz V',0.857143,0.004801,Petrol,Manual,0.542636,0.106997,0.103652,0.5,10452
'Honda Jazz V',0.904762,0.005662,Petrol,Manual,0.542636,0.106997,0.103652,0.5,10452
'Maruti Baleno Zeta',0.952381,0.005074,Petrol,Manual,0.638044,0.106624,0.093001,0.5,10452
'Tata Zest Revotron 1.2 XT',0.809524,0.004128,Petrol,Manual,0.523852,0.10588,0.103652,0.5,10428
'Volkswagen Ameo 1.2 MPI Highline',0.904762,0.003418,Petrol,Manual,0.506857,0.106811,0.075219,0.5,10416
'Volkswagen Ameo 1.2 MPI Highline',0.952381,0.005446,Petrol,Manual,0.506857,0.106811,0.075219,0.5,10416
'Hyundai Grand i10 1.2 Di Asta',0.809524,0.012563,Diesel,Manual,0.715564,0.104578,0.075637,0.5,10416
'Hyundai Grand i10 1.2 Kappa Sportz AT',0.952381,0.003153,Petrol,Automatic,0.563506,0.106624,0.090643,0.5,10356
'Maruti Vitara Brezza LDi',0.952381,0.00498,Diesel,Manual,0.724508,0.116115,0.103271,0.5,10356
'Honda Jazz V',0.619048,0.007051,Petrol,Manual,0.542636,0.106997,0.103652,0.5,10332
'Maruti Dzire VDI',0.857143,0.006955,Diesel,Manual,0.84675,0.116115,0.075219,0.5,10296
'Maruti Dzire VDI',0.904762,0.008398,Diesel,Manual,0.84675,0.116115,0.075219,0.5,10296
'Maruti Baleno Delta CVT',0.952381,0.005302,Petrol,Automatic,0.638044,0.106624,0.093001,0.5,10284
'Hyundai Xcent 1.2 Di S',0.952381,0.003866,Diesel,Manual,0.757305,0.104578,0.075637,0.5,10272
'Tata Zest Revotron 1.2 XT',0.761905,0.006128,Petrol,Manual,0.523852,0.10588,0.103652,0.5,10272
'Nissan Sunny XE P',0.666667,0.007712,Petrol,Manual,0.505367,0.162635,0.120578,0.5,10260
'Honda Amaze S Diesel',0.714286,0.006897,Diesel,Manual,0.816935,0.162635,0.12248,0.5,10248
'Honda Amaze S Diesel',0.714286,0.007128,Diesel,Manual,0.816935,0.162635,0.12248,0.5,10248
'Maruti Swift VDI',0.714286,0.012897,Diesel,Manual,0.84675,0.116115,0.075694,0.5,10128
'Ford Freestyle Titanium Plus Petrol',0.952381,0.000128,Petrol,Manual,0.566488,0.106066,0.115025,0.5,10128
'Volkswagen Ameo 1.2 MPI Highline',0.904762,0.002216,Petrol,Manual,0.506857,0.106811,0.075219,0.5,10056
'Maruti Dzire VDI',0.809524,0.004311,Diesel,Manual,0.84675,0.116115,0.075219,0.5,10032
'Tata Zest Quadrajet 1.3 75PS XE',0.904762,0.018728,Diesel,Manual,0.684258,0.116115,0.075694,0.5,10008
'Tata Zest Quadrajet 1.3 75PS XE',0.952381,0.006897,Diesel,Manual,0.684258,0.116115,0.075694,0.5,10008
'Hyundai Grand i10 1.2 Di Sportz',0.952381,0.007359,Diesel,Manual,0.715564,0.104578,0.075637,0.5,9936
'Hyundai Xcent 1.2 VTVT SX',0.761905,0.009857,Petrol,Manual,0.600477,0.106624,0.090643,0.5,9924
'Maruti Swift VDI',0.761905,0.017666,Diesel,Manual,0.84675,0.116115,0.075694,0.5,9912
'Ford Freestyle Titanium Plus Petrol',0.952381,0.001342,Petrol,Manual,0.566488,0.106066,0.115025,0.5,9888
'Hyundai Xcent 1.2 Di S',0.904762,0.00782,Diesel,Manual,0.757305,0.104578,0.075637,0.5,9876
'Hyundai Xcent 1.2 Di S',0.857143,0.003974,Diesel,Manual,0.757305,0.104578,0.075637,0.5,9876
'Honda Amaze V Petrol',0.952381,0.000897,Petrol,Manual,0.581395,0.106997,0.099962,0.5,9816
'Hyundai Grand i10 1.2 Di Sportz',0.952381,0.004999,Diesel,Manual,0.715564,0.104578,0.075637,0.5,9816
'Hyundai Grand i10 1.2 Di Sportz',0.809524,0.009091,Diesel,Manual,0.715564,0.104578,0.075637,0.5,9816
'Hyundai Grand i10 1.2 Di Sportz',0.904762,0.00317,Diesel,Manual,0.715564,0.104578,0.075637,0.5,9804
'Honda Amaze V Petrol',0.857143,0.006261,Petrol,Manual,0.581395,0.106997,0.099962,0.5,9792
'Maruti Swift ZXI Plus',0.952381,0.000281,Petrol,Manual,0.655933,0.106624,0.090529,0.5,9792
'Maruti Swift VDI',0.809524,0.009714,Diesel,Manual,0.84675,0.116115,0.075694,0.5,9756
'Maruti Dzire AMT VXI',0.904762,0.006435,Petrol,Automatic,0.655933,0.106624,0.090529,0.5,9756
'Ford Freestyle Titanium Petrol',0.428571,0.000168,Petrol,Manual,0.566488,0.106066,0.115025,0.5,9744
'Hyundai Grand i10 1.2 Kappa Asta',0.857143,0.006596,Petrol,Manual,0.563506,0.106624,0.090643,0.5,9720
'Hyundai Grand i10 1.2 Kappa Asta',0.857143,0.005732,Petrol,Manual,0.563506,0.106624,0.090643,0.5,9720
'Hyundai Grand i10 1.2 Kappa Asta',0.904762,0.009634,Petrol,Manual,0.563506,0.106624,0.090643,0.5,9720
'Hyundai Grand i10 1.2 Kappa Asta',0.761905,0.009409,Petrol,Manual,0.563506,0.106624,0.090643,0.5,9720
'Tata Zest Revotron 1.2 XT',0.809524,0.001119,Petrol,Manual,0.523852,0.10588,0.103652,0.5,9708
'Tata Zest Quadrajet 1.3 75PS XE',0.857143,0.019205,Diesel,Manual,0.684258,0.116115,0.075694,0.5,9708
'Volkswagen Ameo 1.2 MPI Highline',0.857143,0.005205,Petrol,Manual,0.506857,0.106811,0.075219,0.5,9708
'Honda Brio 1.2 VX AT',0.904762,0.003051,Petrol,Automatic,0.49195,0.106811,0.100038,0.5,9660
'Hyundai Elite i20 Sportz Plus',0.904762,0.005737,Petrol,Manual,0.554562,0.106624,0.090643,0.5,9636
'BMW 5 Series 530d M Sport',0.571429,0.008897,Diesel,Automatic,0.554264,0.440826,0.43895,0.5,95736
'Mercedes-Benz GLE 250d',0.904762,0.004435,Diesel,Automatic,0.533691,0.282657,0.317516,0.5,95316
'Mercedes-Benz GLE 250d',0.857143,0.007666,Diesel,Automatic,0.533691,0.282657,0.317516,0.5,95316
'Mercedes-Benz GLE 250d',0.857143,0.003205,Diesel,Automatic,0.533691,0.282657,0.317516,0.5,94512
'Mercedes-Benz GLE 250d',0.904762,0.003912,Diesel,Automatic,0.533691,0.282657,0.317516,0.5,94512
'BMW 5 Series 530d M Sport',0.857143,0.004128,Diesel,Automatic,0.554264,0.440826,0.43895,0.5,93972
'Land Rover Range Rover Evoque 2.0 TD4 HSE Dynamic',0.952381,0.004809,Diesel,Automatic,0.467501,0.255862,0.271586,0.5,90144
'Land Rover Range Rover Evoque 2.0 TD4 HSE Dynamic',0.857143,0.007974,Diesel,Automatic,0.467501,0.255862,0.271586,0.5,89388
'Jaguar XF 2.0 Diesel Portfolio',0.904762,0.003205,Diesel,Automatic,0.576327,0.255862,0.271586,0.5,87168
'BMW 5 Series 520d Luxury Line',0.666667,0.006812,Diesel,Automatic,0.670244,0.255117,0.29631,0.5,86184
'BMW 5 Series 520d Luxury Line',0.857143,0.01161,Diesel,Automatic,0.670244,0.255117,0.29631,0.5,86184
'Mercedes-Benz E-Class E 220 d',0.714286,0.013051,Diesel,Automatic,0.480024,0.246744,0.303918,0.5,85380
'Mercedes-Benz E-Class E 220 d',0.952381,0.001666,Diesel,Automatic,0.480024,0.246744,0.303918,0.5,84660
'BMW X3 xDrive 20d Luxury Line',0.952381,0.000189,Diesel,Automatic,0.553369,0.255117,0.29631,0.5,84660
'BMW 5 Series 520d Luxury Line',0.666667,0.009395,Diesel,Automatic,0.670244,0.255117,0.29631,0.5,84516
'Hyundai Grand i10 1.2 Kappa Magna AT',0.952381,0.000435,Petrol,Automatic,0.563506,0.106624,0.090643,0.5,9576
'Hyundai Grand i10 1.2 Kappa Magna AT',1,0.001843,Petrol,Automatic,0.563506,0.106624,0.090643,0.5,9576
'Tata Bolt Quadrajet XM',0.904762,0.015128,Diesel,Manual,0.684258,0.116115,0.075694,0.5,9564
'Maruti Dzire VXI',0.714286,0.005343,Petrol,Manual,0.655933,0.106624,0.090529,0.5,9564
'Maruti Ignis 1.2 AMT Alpha',1,0.000575,Petrol,Automatic,0.622838,0.106624,0.090529,0.5,9552
'Mahindra KUV 100 G80 K8 Dual Tone',0.952381,0.006435,Petrol,Manual,0.541145,0.106811,0.090909,0.6,9552
'Tata Zest Quadrajet 1.3 75PS XE',0.904762,0.006897,Diesel,Manual,0.684258,0.116115,0.075694,0.5,9528
'Maruti Swift VDI',0.904762,0.005299,Diesel,Manual,0.84675,0.116115,0.075694,0.5,9504
'Maruti Dzire LDI',0.666667,0.023051,Diesel,Manual,0.84675,0.116115,0.075219,0.5,9492
'Maruti Dzire LDI',0.904762,0.007359,Diesel,Manual,0.84675,0.116115,0.075219,0.5,9492
'Maruti Dzire LDI',0.952381,0.004128,Diesel,Manual,0.84675,0.116115,0.075219,0.5,9492
'Maruti Swift VDI',0.857143,0.009542,Diesel,Manual,0.84675,0.116115,0.075694,0.5,9456
'Maruti Swift VDI',0.809524,0.008205,Diesel,Manual,0.84675,0.116115,0.075694,0.5,9456
'Mahindra KUV 100 G80 K8',0.952381,0.00242,Petrol,Manual,0.541145,0.106811,0.090909,0.6,9456
'Maruti Swift VDI',0.761905,0.004184,Diesel,Manual,0.84675,0.116115,0.075694,0.5,9456
'Maruti Ignis 1.2 Alpha',0.904762,0.001051,Petrol,Manual,0.622838,0.106624,0.090529,0.5,9444
'Maruti Ignis 1.2 Alpha',0.904762,0.000128,Petrol,Manual,0.622838,0.106624,0.090529,0.5,9444
'Hyundai Xcent 1.2 VTVT S',0.761905,0.008282,Petrol,Manual,0.600477,0.106624,0.090643,0.5,9420
'Hyundai Xcent 1.2 VTVT S',0.809524,0.010088,Petrol,Manual,0.600477,0.106624,0.090643,0.5,9420
'Toyota Etios Liva 1.4 GD',0.714286,0.012897,Diesel,Manual,0.703339,0.1377,0.062457,0.5,9396
'Hyundai Grand i10 1.2 Kappa Asta',0.904762,0.003051,Petrol,Manual,0.563506,0.106624,0.090643,0.5,9384
'Hyundai Grand i10 1.2 Kappa Asta',0.904762,0.003435,Petrol,Manual,0.563506,0.106624,0.090643,0.5,9384
'Tata Bolt Revotron XT',0.857143,0.001512,Petrol,Manual,0.523852,0.10588,0.103652,0.5,9324
'Tata Zest Revotron 1.2T XMS',0.761905,0.003589,Petrol,Manual,0.523852,0.10588,0.103652,0.5,9240
'Tata Zest Revotron 1.2T XMS',0.809524,0.006128,Petrol,Manual,0.523852,0.10588,0.103652,0.5,9228
'Maruti Dzire VXI',0.714286,0.011359,Petrol,Manual,0.655933,0.106624,0.090529,0.5,9204
'Ford Figo Titanium Diesel',0.809524,0.011056,Diesel,Manual,0.760286,0.162635,0.123241,0.5,9180
'Tata Zest Revotron 1.2T XM',0.857143,0.006698,Petrol,Manual,0.523852,0.10588,0.103652,0.5,9156
'Tata Zest Revotron 1.2T XM',0.904762,0.007389,Petrol,Manual,0.523852,0.10588,0.103652,0.5,9156
'Tata Zest Revotron 1.2T XM',0.809524,0.006006,Petrol,Manual,0.523852,0.10588,0.103652,0.5,9156
'Tata Zest Revotron 1.2T XM',0.761905,0.005512,Petrol,Manual,0.523852,0.10588,0.103652,0.5,9156
'Toyota Etios Liva 1.2 VX Dual Tone',1,0.003186,Petrol,Manual,0.541443,0.106624,0.085013,0.5,9108
'Ford Aspire Ambiente Diesel',0.952381,0.002589,Diesel,Manual,0.778175,0.162635,0.123241,0.5,9072
'Honda Amaze S Petrol',0.857143,0.007923,Petrol,Manual,0.581395,0.106997,0.103766,0.5,9060
'Hyundai Grand i10 1.2 Kappa Asta',0.952381,0.001512,Petrol,Manual,0.563506,0.106624,0.090643,0.5,9048
'Honda Amaze S Petrol',0.761905,0.010589,Petrol,Manual,0.581395,0.106997,0.103766,0.5,9024
'Hyundai Grand i10 1.2 Kappa Asta',0.904762,0.007854,Petrol,Manual,0.563506,0.106624,0.090643,0.5,8976
'Hyundai Grand i10 1.2 Di Magna',0.904762,0.002128,Diesel,Manual,0.715564,0.104578,0.075637,0.5,8952
'Hyundai Grand i10 1.2 Kappa Sportz',0.761905,0.005127,Petrol,Manual,0.563506,0.106624,0.090643,0.5,8940
'Hyundai Grand i10 1.2 Kappa Sportz',0.904762,0.00593,Petrol,Manual,0.563506,0.106624,0.090643,0.5,8940
'Tata Bolt Quadrajet XE',0.904762,0.006128,Diesel,Manual,0.684258,0.116115,0.075694,0.5,8916
'Tata Bolt Quadrajet XE',0.857143,0.015405,Diesel,Manual,0.684258,0.116115,0.075694,0.5,8916
'Hyundai Grand i10 1.2 Kappa Asta',1,0.000128,Petrol,Manual,0.563506,0.106624,0.090643,0.5,8868
'Hyundai Grand i10 1.2 Kappa Magna AT',0.952381,0.000797,Petrol,Automatic,0.563506,0.106624,0.090643,0.5,8844
'Maruti Baleno Delta',0.857143,0.001908,Petrol,Manual,0.638044,0.106624,0.093001,0.5,8832
'Maruti Baleno Delta',0.904762,0.002302,Petrol,Manual,0.638044,0.106624,0.093001,0.5,8832
'Honda Amaze S Petrol',0.714286,0.004986,Petrol,Manual,0.581395,0.106997,0.103766,0.5,8832
'Mahindra KUV 100 G80 K6 Plus 5Str',0.904762,0.006589,Petrol,Manual,0.541145,0.106811,0.090909,0.5,8820
'Volkswagen Polo 1.0 MPI Comfortline',0.857143,0.006435,Petrol,Manual,0.559928,0.06978,0.077596,0.5,8796
'Maruti Dzire VXI',0.619048,0.007156,Petrol,Manual,0.655933,0.106624,0.090529,0.5,8760
'Maruti Swift LDI',0.857143,0.007974,Diesel,Manual,0.84675,0.116115,0.075694,0.5,8724
'Tata Tiago AMT 1.2 Revotron XZA',1,0.00234,Petrol,Automatic,0.710793,0.106997,0.09439,0.5,8604
'Tata Tigor XE Diesel',0.904762,0.002471,Diesel,Manual,0.736434,0.078712,0.066185,0.5,8580
'Hyundai Grand i10 1.2 Kappa Sportz',0.952381,0.000583,Petrol,Manual,0.563506,0.106624,0.090643,0.5,8568
'Maruti Swift LDI',0.809524,0.002128,Diesel,Manual,0.84675,0.116115,0.075694,0.5,8556
'Maruti Swift LDI',0.809524,0.006041,Diesel,Manual,0.84675,0.116115,0.075694,0.5,8412
'Maruti Swift VXI',0.857143,0.003598,Petrol,Manual,0.655933,0.106624,0.090529,0.5,8400
'BMW X3 xDrive 20d Luxury Line',0.52381,0.008897,Diesel,Automatic,0.553369,0.255117,0.29631,0.5,83508
'BMW 5 Series 520d Luxury Line',0.761905,0.00782,Diesel,Automatic,0.670244,0.255117,0.29631,0.5,83364
'Audi A6 35 TDI Matrix',0.904762,0.005639,Diesel,Automatic,0.552475,0.250093,0.292012,0.5,83244
'Land Rover Discovery Sport TD4 HSE 7S',1,0.003668,Diesel,Automatic,0.381932,0.255862,0.217022,0.7,83064
'BMW 5 Series 520d Luxury Line',0.952381,0.004987,Diesel,Automatic,0.670244,0.255117,0.29631,0.5,81444
'BMW 5 Series 520d Luxury Line',0.714286,0.009974,Diesel,Automatic,0.670244,0.255117,0.29631,0.5,81444
'Audi A6 35 TDI Matrix',0.809524,0.003051,Diesel,Automatic,0.552475,0.250093,0.292012,0.5,81204
'Audi A6 35 TDI Matrix',0.761905,0.009512,Diesel,Automatic,0.552475,0.250093,0.292012,0.5,80520
'Land Rover Discovery Sport TD4 HSE 7S',0.904762,0.006128,Diesel,Automatic,0.381932,0.255862,0.217022,0.7,79668
'BMW X3 xDrive 20d xLine',0.904762,0.005624,Diesel,Automatic,0.553369,0.255117,0.29631,0.5,77712
'Mercedes-Benz GLC 220d 4MATIC Style',1,0.004483,Diesel,Automatic,0.533691,0.282657,0.258273,0.5,77484
'Mercedes-Benz GLC 220d 4MATIC Sport',0.904762,0.00382,Diesel,Automatic,0.533691,0.282657,0.258273,0.5,76968
'BMW 5 Series 520d Luxury Line',0.666667,0.014589,Diesel,Automatic,0.670244,0.255117,0.29631,0.5,76452
'BMW 5 Series 520d Luxury Line',0.714286,0.008435,Diesel,Automatic,0.670244,0.255117,0.29631,0.5,76452
'BMW 5 Series 520d Luxury Line',0.714286,0.01382,Diesel,Automatic,0.670244,0.255117,0.29631,0.5,76452
'BMW 5 Series 520d Luxury Line',0.571429,0.007051,Diesel,Automatic,0.670244,0.255117,0.29631,0.5,76452
'BMW 5 Series 520d Luxury Line',0.761905,0.009248,Diesel,Automatic,0.670244,0.255117,0.29631,0.5,76452
'BMW 5 Series 520d Luxury Line',0.619048,0.007913,Diesel,Automatic,0.670244,0.255117,0.29631,0.5,76452
'BMW 3 Series Luxury Line',0.857143,0.010743,Diesel,Automatic,0.648778,0.255117,0.29631,0.5,74532
'BMW 3 Series Luxury Line',0.857143,0.002933,Diesel,Automatic,0.648778,0.255117,0.29631,0.5,74484
'BMW 3 Series Luxury Line',0.904762,0.003205,Diesel,Automatic,0.648778,0.255117,0.29631,0.5,74484
'BMW 3 Series Luxury Line',0.761905,0.007359,Diesel,Automatic,0.648778,0.255117,0.29631,0.5,73056
'BMW 3 Series Luxury Line',0.809524,0.006282,Diesel,Automatic,0.648778,0.255117,0.29631,0.5,73056
'BMW 3 Series Luxury Line',0.857143,0.004743,Diesel,Automatic,0.648778,0.255117,0.29631,0.5,73056
'Audi A6 35 TFSI Matrix',0.857143,0.007205,Petrol,Automatic,0.454979,0.218459,0.292012,0.5,72708
'Maruti Swift VXI',0.571429,0.010436,Petrol,Manual,0.655933,0.106624,0.090529,0.5,8388
'Nissan Micra Active XV',0.952381,0.003666,Petrol,Manual,0.58706,0.106811,0.062457,0.5,8388
'Hyundai Grand i10 1.2 Kappa Sportz',0.952381,0.001512,Petrol,Manual,0.563506,0.106624,0.090643,0.5,8352
'Tata Tiago AMT 1.2 Revotron XZA',0.952381,0.000281,Petrol,Automatic,0.710793,0.106997,0.09439,0.5,8328
'Tata Zest Revotron 1.2T XE',0.904762,0.015359,Petrol,Manual,0.523852,0.10588,0.103652,0.5,8196
'Hyundai Grand i10 1.2 Kappa Sportz',0.809524,0.003171,Petrol,Manual,0.563506,0.106624,0.090643,0.5,8184
'Hyundai Grand i10 1.2 Kappa Sportz',0.857143,0.004449,Petrol,Manual,0.563506,0.106624,0.090643,0.5,8184
'Hyundai Grand i10 1.2 Kappa Magna',0.571429,0.006936,Petrol,Manual,0.563506,0.106624,0.090643,0.5,8160
'Maruti Wagon R ZXI AMT 1.2',1,0.000066,Petrol,Automatic,0.641026,0.106624,0.090529,0.5,8160
'Nissan Micra Active XV',0.857143,0.006282,Petrol,Manual,0.58706,0.106811,0.062457,0.5,8136
'Volkswagen Polo 1.0 MPI Trendline',1,0.000128,Petrol,Manual,0.559928,0.06978,0.077596,0.5,8088
'Hyundai Grand i10 1.2 Kappa Sportz',0.952381,0.001425,Petrol,Manual,0.563506,0.106624,0.090643,0.5,8052
'Hyundai Xcent 1.2 VTVT E',0.952381,0.006128,Petrol,Manual,0.600477,0.106624,0.090643,0.5,8052
'Hyundai Grand i10 1.2 Kappa Sportz',1,0.002813,Petrol,Manual,0.563506,0.106624,0.090643,0.5,8016
'Hyundai Grand i10 1.2 Kappa Sportz',0.952381,0.003157,Petrol,Manual,0.563506,0.106624,0.090643,0.5,8016
